https://www.instagram.com/p/CF77zmGAlJN/,hashtags:,#tomalanene
username,comment_id,text
h.sancz.mx,17892701872639769,Estás acá en CDMX!?
tixca__chan,18047287909265181,Visita la casa de Toño en la zona. Rosa un rico PosoLe con su cáscara guacamole. Padrino.  A ñooo
ta_tewari,17883653110746590,Apoco hace frío soco!! 🥶🥶
limbo8611,17901088738563599,Y llevaste tu hamaca soqui?
abrahamcanulcauich,17880195382815764,Pensé que era la nueva peli de up
fredygamma,17886494254723897,"Llevaste tu chile habanero para la hora de la comida , saludos mi Soco , pásala bien por ahí ."
jhon__traveler,17882247772772186,Ma ma ma ma bien ahí padrino👍
c.omandante,17914247389483834,De saber que andabas en CDMX primooooo ! Ahí estuve todo el día de hoy🥱
addizalapa,18053394787249708,¡Éxito gordito!... 🙌😘 @donsocotroco
williameksa,17880249106820444,"""El Soco Comunica"" jajajaja we aparte no puedes dormir en cama como los chilangos llevaste tu hamaca 😂"
manuelin492,17904788257532915,Eso es todo padrino
ferminlacalaca,17904418072543294,Caele a queretaro  estas a 2 hrs
queondamaderita,17853217391272862,Éxito siempre gordo! Te quiero!
soyrafaaa16,17889886531686219,Pelana soco estás perdido
cristobalpe90,18134267836112778,@arceepe
andres_uc_gongora,17889022042705990,"Lo bueno que la mochila sirve de contrapeso caon, saludos."
chepita_lara,17888813233727005,"Cuidate mi gordito, te amo!"
