hashtags:,#humor,#esposos,#toxicos
post_url,username,comment_id,comment_text
carlosviveros,18063807170157811,https://www.instagram.com/p/DDX86xfJB7U/,En qué trbjan ?
ros_elenalance,18059906600050652,https://www.instagram.com/p/DDX86xfJB7U/,Nosotros igual mismas contraseñas súper práctico.
miran_aldin,18158806381342212,https://www.instagram.com/p/DDX86xfJB7U/,No digan mama.......s  Mary Jane..
megaeugine,17934324306004610,https://www.instagram.com/p/DDX86xfJB7U/,"Nosotros igual. Somos un matrimonio, somos un equipo. De hecho otra regla tóxica que seguimos trabajamos en el mismo lugar, de hecho él es el jefe y yo la asistente."
rcutler1203,18218787115288869,https://www.instagram.com/p/DDX86xfJB7U/,La 1 pues si les queda por que no creo que nadie le haga caso a soco jajajaja
saikbens,18039855968594789,https://www.instagram.com/p/DDX86xfJB7U/,Por eso Alfonso tiene dos teléfono 😂
mayte_sch,18040263743578049,https://www.instagram.com/p/DDX86xfJB7U/,Mi esposo y yo también tenemos la misma contraseña  de el celular
naxecortes,18075320596674674,https://www.instagram.com/p/DDX86xfJB7U/,"Es lo mejor. Nada tóxico, es confianza."
jorgecafetalero80,17875096533279196,https://www.instagram.com/p/DDX86xfJB7U/,Mis 🥚🥚
chabelitha_izza,17946328052816617,https://www.instagram.com/p/DDX86xfJB7U/,Sii lo aplicamos con mi pareja y llevamos 7 años super bien
sosale15,18067607131717043,https://www.instagram.com/p/DDX86xfJB7U/,Que padre ver parejas como ustedes ❤️
karina.cab.3910,18061982974778101,https://www.instagram.com/p/DDX86xfJB7U/,Mi esposo y yo hacemos lo mismo jajajjajaja y la verdad si funciona en el celular ninguno de los dos tenemos claves jajajjajajajajajja porque se nos olvida jajajajjajajaja
karely.trejo,18023599454389838,https://www.instagram.com/p/DDX86xfJB7U/,"Mi esposo y yo tenemos esos 3 puntos en nuestra relación... Y Tenemos otro punto, siempre nos avisamos donde estamos y vamos juntos a todos lados porque nos gusta estar juntos"
kumisanta05,18026843486638139,https://www.instagram.com/p/DDX86xfJB7U/,Eso es todo .....👏🏻👏🏻👏🏻👏🏻
palafox590,18060421727308530,https://www.instagram.com/p/DDX86xfJB7U/,"Muy buen consejo, los admiro, los saludo desde Acapulco"
yess_df92,17921981289028654,https://www.instagram.com/p/DDX86xfJB7U/,Yo y mi gordito igual tenemos las mismas claves
margurica_,17947864034947919,https://www.instagram.com/p/DDX86xfJB7U/,Hermosos !!!!
nightmare.cometrue,17917409970061310,https://www.instagram.com/p/DDX86xfJB7U/,Les cambio esas tres por respeto y confianza y qué tal si como amigo te quiero contar un secreto y tu esposa lo ve no pues como amigo fallaste
oscarherrera4561,18005836688529471,https://www.instagram.com/p/DDX86xfJB7U/,No es ! Ni será nada sano ! Señores ! Soco en lo personal solo sal tu
mimipergo,18006138716527913,https://www.instagram.com/p/DDX86xfJB7U/,Lo importante es que los dos están de acuerdo y se tienen confianza 😉
lucichan88,17997584129739982,https://www.instagram.com/p/DDX86xfJB7U/,Q hermosa pareja se apoyan mutuamente muchas bendiciones y éxitos en sus vidas siempre
sareddema,18064616965878097,https://www.instagram.com/p/DDX86xfJB7U/,Les faltó compartir la ubicación jajajaaj para saber q tú pareja esté bien sobre todo si sale a carretera cada día!
mariaisabel.jimenesrosado,18042477902053364,https://www.instagram.com/p/DDX86xfJB7U/,Mi esposo y yo igual tenemos la misma clave del cel y la clave de las tarjetas y nos funciona muy bien 👍
coniepeniche,17857708041285694,https://www.instagram.com/p/DDX86xfJB7U/,"Hola socotroco dime x favor como estas de salud? Supe estabas enfermito , espero en dios ya estes mejor soyuna abuelita que te sigue y te desea lo mejor dtb a ti y a mercy"
mendezdepalomo,18343813195150519,https://www.instagram.com/p/DDX86xfJB7U/,La verdad si funciona  mi esposo y yo así lo manejamos todo chévere
lcautosgomezgarcia,18052203638121253,https://www.instagram.com/p/DDX86xfJB7U/,Les felicito .uy importante la comunicación y confianza saludos a ambos merci y el  amigo zocotro o
nerichable35,18044183585241996,https://www.instagram.com/p/DDX86xfJB7U/,"Yo en vez de llamada,hago video llamada y así veo donde está jajaja yo si soy tóxica jajaja"
brizzz_lo,18028477607281983,https://www.instagram.com/p/DDX86xfJB7U/,"Totalmente de acuerdo, yim y Briz así se manejan también buscamos practicidad😅👏"
pecesita08,18040634048067512,https://www.instagram.com/p/DDX86xfJB7U/,Así es❤️
aguilarmanueldea,18103178731476176,https://www.instagram.com/p/DDX86xfJB7U/,Así es
roxyjufet,18035507921145100,https://www.instagram.com/p/DDX86xfJB7U/,Yo y mi esposo así lo pasemos también
graciellaem,18038156396091778,https://www.instagram.com/p/DDX86xfJB7U/,Cuando no hay nada que ocultar puedes compartir tus cosas con tu pareja! Excelente pareja Soco y Mercy! ♥️
janetjimenezjara90,18072089254678836,https://www.instagram.com/p/DDX86xfJB7U/,"Mi esposo y yo , hacemos todo eso, no lo considero tóxico aunque lo parezca jajaj acabamos de cumplir 24 años de
Feliz matrimonio ❤️"
anahichac,18048800852114909,https://www.instagram.com/p/DDX86xfJB7U/,"Mi esposo y yo tambien tenemos la misma clave del celular, y manejamos las mismas tarjetas"
gusstavorv,17967717104819519,https://www.instagram.com/p/DDX86xfJB7U/,"Me parece falso, dijeron lo mismo que una pareja que acabo de ver. Hasta la mismas palabras, demasiada coincidencia."
greydi.flores.anguas,17946478649792018,https://www.instagram.com/p/DDX86xfJB7U/,Es correcto incluso el cel de mis hijos tienen la misma clave...🤭🤭
yanghuo23,18071780488584459,https://www.instagram.com/p/DDX86xfJB7U/,"Me encanta el chisme en pareja, es muy divertido, buenos tips y si funcionan."
williamsanchez7448,17915591064022022,https://www.instagram.com/p/DDX86xfJB7U/,"Es una ilusión a conveniencia Ya veremos  cuando se divorcien ..........para soco lo entiendo como varón, las mujeres mantienen vigilancia aunque digan lo contrario es su naturaleza"
carlosalbertoamarorodriguez,18294443701226085,https://www.instagram.com/p/DDX86xfJB7U/,"Muy mal soco debes tener un segundo cel…el del amor, el dinero cada quien su lana y luego dividimos gastos, y la tercera pues puede agarrar mi cel no hay pedo 💨 porque tengo el otro el del amor 😻"
dominguezleydi05,17902225413070093,https://www.instagram.com/p/DDX86xfJB7U/,Copiones jajajaj ya hagan cosas nuevas
soniaribbon,18042657491264494,https://www.instagram.com/p/DDX86xfJB7U/,"Me parece muy bien, yo creo que así debe de ser"
