hashtags:,#esposos,#risas
post_url,username,comment_id,comment_text
bloody.r.adams1,18075448667224455,https://www.instagram.com/p/DHkGtk8MnX9/,Ve los taquetes que le puso jajajja eso ni un cuadro pueden 😂
banellycarrasco,18094227994597497,https://www.instagram.com/p/DHkGtk8MnX9/,😂😂😂😂😂😂😂😂😂😂😂
jenncervera_27,18366555859133659,https://www.instagram.com/p/DHkGtk8MnX9/,JAJAJA JAJAJA JAJAJA JAJAJAJA JAJAJAJA JAJAJAJA
adaliasm92,18493463371035416,https://www.instagram.com/p/DHkGtk8MnX9/,Eso necesita otro tipo de tacos y tornillos más grandes porque la TV es grande y pesada
diego.vid,18055141097332641,https://www.instagram.com/p/DHkGtk8MnX9/,Esta hueca esa pared
rage.demian,18086840485625590,https://www.instagram.com/p/DHkGtk8MnX9/,Mira los tornillitos que puso el pajero...tirafondos van ahi
elkechu_,18045648728600857,https://www.instagram.com/p/DHkGtk8MnX9/,Aunque sea pared de concreto usen taquetes de expansión
adrian99xx,17875135188318207,https://www.instagram.com/p/DHkGtk8MnX9/,"Pos como le vas a poner taquete expansor a una pared hueca
Ahi quiza la mejor solución ya por los agujerotes seria meterle tornillo tipo mariposa"
vidrioyaluminiomiguel,18022298624690086,https://www.instagram.com/p/DHkGtk8MnX9/,El típico que no sabe ni para que sirve un desarmador Phillips
amau_forte,17879160165284536,https://www.instagram.com/p/DHkGtk8MnX9/,No sabía mejor dicho
rochapietrov,18085795057624683,https://www.instagram.com/p/DHkGtk8MnX9/,"Taquetes mariposa, los espansivos no sirven"
itsarturovargasv,18068564321312572,https://www.instagram.com/p/DHkGtk8MnX9/,Expansores y tornillos? No?
mikelumiere,18319122328205054,https://www.instagram.com/p/DHkGtk8MnX9/,"sin taquetes, tornillos para metal, y un muro falso. lógico que se cae"
fidelestrada.jimenez,18079005406707936,https://www.instagram.com/p/DHkGtk8MnX9/,El pagues no garantiza que está bien hecho y más si la casa está hecha de polvorón.
djmayen,18038954750624028,https://www.instagram.com/p/DHkGtk8MnX9/,"Llevan taquetes, pijas y no tornillos."
alejandrosamayoa_mx,18365291185122480,https://www.instagram.com/p/DHkGtk8MnX9/,"Vean el tamañito de esos taquetes también, a ese tío no le funciona el sentido común"
davecl90,17983600028814900,https://www.instagram.com/p/DHkGtk8MnX9/,Pendejo! 🤦🏻‍♂️
aguancha2,18296957473246901,https://www.instagram.com/p/DHkGtk8MnX9/,"Echando a perder se aprende, ya encontrara la solución... No se awite, nadie nació sabiendo se aprende sobre la marcha..."
leo_manza37,18061941263078650,https://www.instagram.com/p/DHkGtk8MnX9/,Jajajajajajaja
antony4545,18060042125490319,https://www.instagram.com/p/DHkGtk8MnX9/,Con ver la porquería de muro antes duro
monny_garzza,17901698376053896,https://www.instagram.com/p/DHkGtk8MnX9/,Lo bueno que se dieron cuenta antes de que la TV llegara al piso 🙊🤣
maflores050880,17985531731661692,https://www.instagram.com/p/DHkGtk8MnX9/,Los taquetillos de 1/4 también no mms… la hubieras pegado mejor con mocos.
checoragoo,17972421872707618,https://www.instagram.com/p/DHkGtk8MnX9/,No le metió taquetes
antony.glez.96,17862050433308831,https://www.instagram.com/p/DHkGtk8MnX9/,Se burlan las mujeres pero intenté lo
noemivillanueva2023,17952286994809217,https://www.instagram.com/p/DHkGtk8MnX9/,Jajajajajjaja
isaacarlose,17952051887806943,https://www.instagram.com/p/DHkGtk8MnX9/,Son táquetes pedorros necesita expansivos
cruslycastillo,18289781191216490,https://www.instagram.com/p/DHkGtk8MnX9/,Taquetes de plástico ....😄😄
randyvisi0n,17852606187424578,https://www.instagram.com/p/DHkGtk8MnX9/,"Jajajajajajajajajajajajajajajajajjajajajaajjajaajjajajaa no fue el vato, fue el muro jajajajajajajajajajajaajajaj"
ctenopala,17939827019992044,https://www.instagram.com/p/DHkGtk8MnX9/,"Eso no es block para durock,  con razón no aguanto."
violozano,17978432162821175,https://www.instagram.com/p/DHkGtk8MnX9/,Tiralo a la basura
telate85,17893753209091032,https://www.instagram.com/p/DHkGtk8MnX9/,Era expansivo jajajajajaj
joma89162024,18298694581212055,https://www.instagram.com/p/DHkGtk8MnX9/,Al parecer si lo podía hacer solo que su pared no es de bloques
jorg3tnt,18051460787338145,https://www.instagram.com/p/DHkGtk8MnX9/,Por lo menos lo intento
