hashtags:,#piscina,#limpieza,#esperancito
post_url,username,comment_id,comment_text
carpago,18007391092928260,https://www.instagram.com/p/CxB3iAWrRLh/,Con dos pastillas de cloro que le pongan regularmente no batallan tanto
mkgil2504,18395207797021978,https://www.instagram.com/p/CxB3iAWrRLh/,Me hacen el día 🙌 . Que bonita pareja . Me encanta la frase “ Ay Alfonso “ jajajaja hacen buen equipo . Felicidades 🎉
mbah.godspower,18053175580463183,https://www.instagram.com/p/CxB3iAWrRLh/,😜💋💗💞
mostropuk,17996021117151160,https://www.instagram.com/p/CxB3iAWrRLh/,😂😂😂
soyjackie92,18000770219038549,https://www.instagram.com/p/CxB3iAWrRLh/,Ay Alfoooonso
brandon_joan1998,18298778104139450,https://www.instagram.com/p/CxB3iAWrRLh/,Muerde?
fer.25,18009525613777940,https://www.instagram.com/p/CxB3iAWrRLh/,No te pases de la raya 🤣
kungfualan,17995876823141112,https://www.instagram.com/p/CxB3iAWrRLh/,Yo digo que la mujer lo anda padroteando pa sacarle el only fans al rato.
crissancona,17854303200030131,https://www.instagram.com/p/CxB3iAWrRLh/,Pónganle sus quimicos y no tienen que estarla desaguando
mau_varmen,17863846928960106,https://www.instagram.com/p/CxB3iAWrRLh/,ya se rajo el concreto? por que esa partida?😂
edurdgz_17,18021414253709511,https://www.instagram.com/p/CxB3iAWrRLh/,Compra una hidrolavadora para que sea más fácil limpiar la piscina soco
skink_merida,17982350426219495,https://www.instagram.com/p/CxB3iAWrRLh/,Te envié un mensaje directo ojalá lo puedas ver 🙌
skink_merida,17935975985726651,https://www.instagram.com/p/CxB3iAWrRLh/,Jajajajajaja
dsanchez.sol,17934399014729755,https://www.instagram.com/p/CxB3iAWrRLh/,Y ese hippo 🦛 🤣🤣🤣🤣🤣🤣🤣
rodro889,18002231186028294,https://www.instagram.com/p/CxB3iAWrRLh/,Pa que no salga verdín ni la.vacien por completo contraten a alguien que le dé mantenimiento regularmente
straightouttacoapa,17996112932165947,https://www.instagram.com/p/CxB3iAWrRLh/,Tecate light 🥱🥱🥱
vaz_pattty,17857026297018783,https://www.instagram.com/p/CxB3iAWrRLh/,😂😂😂😂😂
anonimuserx,18006987061944428,https://www.instagram.com/p/CxB3iAWrRLh/,Lavo piscinas a domicilio🙋🏿‍♂️
manuelfloress213,18263235391095346,https://www.instagram.com/p/CxB3iAWrRLh/,Es el centenario! Soco
adriax1,17968307852446739,https://www.instagram.com/p/CxB3iAWrRLh/,Les puedo recomendar l joven q limpia piscinas excelentes
_aldolobato,17939070956709190,https://www.instagram.com/p/CxB3iAWrRLh/,Ma no pueden sacar el sapo jajajajajaja
fred_nt94,17891658119822611,https://www.instagram.com/p/CxB3iAWrRLh/,"Que paso así padrino, mejor una cerveza de hombre"
luis_cherrez,18247701721207713,https://www.instagram.com/p/CxB3iAWrRLh/,Maaaa me va a salir un shoy😂
fernando_navarrete_perez,18015995041819649,https://www.instagram.com/p/CxB3iAWrRLh/,Esta muy peluda la otra piscina socotroco
emocionesyucatan,18278173435145711,https://www.instagram.com/p/CxB3iAWrRLh/,9991376737 Servicio profesional en Albercas
