https://www.instagram.com/p/DQAwlBdAGvR/,hashtags:,#fblifestyle
username,comment_id,text
cr.istina5999,18180564625349229,Que complejidad pero que bien explicado 🙌🙌👏👏👏
roch.gonzalez,18141668473435725,👏👏👏👏👏
cuatrogs,18405411616189054,Excelente explicación. Gracias por su generosidad en mostrarnos aspectos de la lengua maya
fjboskofjs,18073640354182280,"Chino tambien presenta clasificadores como en Maya. Numeral + clasificador + sustantivo.  两本书
/Liǎng běn shū
/. Bĕn és el clasificador para libros"
helder_gilon,18358954489092862,"Esta es una conclusión muy atrevida, pero sabiendo que los americanos vienen de Asia pues puede ser que ambos tengan clasificadores yo digo, cosa que no ocurrió con las lenguas indo-europeas como el español"
felipemaylugo,18057679922235840,👏
angelicareyesadame,18088601329922317,👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼
pierogitacosy,17964748457979171,Deberías escribir algún manual de gramática 😊🙏🏼
fjboskofjs,18083548604486512,@pierogitacosy 👏👏👏👏👏👏
fromlosertosooper,17857331640479255,Profe ábrase un Patreon para patrocinarle diseñar material didáctico para que la gente pueda aprender estas lenguas más fácilmente. Yo le coopero!
triatlonmaya,18054728207281904,Kimak in wóol jkáansaj santos!! Yuumbóotik!
