hashtags:,#yucatan,#humor,#entrevista
post_url,username,comment_id,comment_text
rulimatsumoto,18399610267133011,https://www.instagram.com/p/DTydaKfDepO/,Allá menos de 30 grados es frío 🥶
zitamondragon,18204811360322117,https://www.instagram.com/p/DTydaKfDepO/,@rulimatsumoto si hace frio el fin de semana estaba frío por allá jajaja lo juro
juliolealortiz,18091896283812122,https://www.instagram.com/p/DTydaKfDepO/,@rulimatsumoto menos de 32!
zitamondragon,18334677994246443,https://www.instagram.com/p/DTydaKfDepO/,@juliolealortiz jajjajaja el jueves en la tarde si hacía frío ☃️ jjajajajaja
sandy_mar88,17872693668414757,https://www.instagram.com/p/DTydaKfDepO/,@rulimatsumoto se le llama HELADEZ 😂
mininauta,18550093669044738,https://www.instagram.com/p/DTydaKfDepO/,La señoraaa 😂
torres_hands,18094122538752845,https://www.instagram.com/p/DTydaKfDepO/,@_ivancitors con el frío de 20 grados? 😂😮
miky_lombardy,18092284237799587,https://www.instagram.com/p/DTydaKfDepO/,La risa del viejillo jajajaj 🤣
juliolealortiz,17931029988177845,https://www.instagram.com/p/DTydaKfDepO/,@miky_lombardy lo mejor 😂😂
f_a_n_y_crg,18104099980753242,https://www.instagram.com/p/DTydaKfDepO/,"Jajajajaja ""con este frío "" y andan en playera como si nada 🤣🤣🤣"
lucyygalvezg,18056606705361968,https://www.instagram.com/p/DTydaKfDepO/,😂😂😂😂
juliolealortiz,18103732321786894,https://www.instagram.com/p/DTydaKfDepO/,@lucyygalvezg 😂
nena.luv.___,18435067588129353,https://www.instagram.com/p/DTydaKfDepO/,
alebob266,18080833352265935,https://www.instagram.com/p/DTydaKfDepO/,
tziomara.sg,17939541927131348,https://www.instagram.com/p/DTydaKfDepO/,Cuantos grados es frío allá?
paupau8705,18077114237586138,https://www.instagram.com/p/DTydaKfDepO/,@tziomara.sg 32º jajaja no bueno sin exagerar yo creo que 25° está fresco y bajo de esa temperatura ya es frío para ellos (Vivi allá por un tiempo) 😅
frid.art.tattoo,18430087354116599,https://www.instagram.com/p/DTydaKfDepO/,@monykmatsuo 😂
monykmatsuo,17936681016137691,https://www.instagram.com/p/DTydaKfDepO/,@frid.art.tattoo 😂😂😂
zizucr78,18357905746161329,https://www.instagram.com/p/DTydaKfDepO/,😂😂😂
juliolealortiz,18124811905535724,https://www.instagram.com/p/DTydaKfDepO/,😂
fe.li2701,18321608731218460,https://www.instagram.com/p/DTydaKfDepO/,Julio cuñado vas otra vez al centro para grabar algo
gibrauni,18130696960506880,https://www.instagram.com/p/DTydaKfDepO/,"Frío, pues a cuantos grados están?"
paupau8705,18088932565866275,https://www.instagram.com/p/DTydaKfDepO/,@gibrauni pues la baja es ahorita de 19° 20º… 17º ya es una Heladez (léase en tono yuca🤭)
gibrauni,18072495674114687,https://www.instagram.com/p/DTydaKfDepO/,"@paupau8705 jajajaj no manches, esos grados es agradable a comparación de acá de donde vivo"
cristopher17560,17855758395604367,https://www.instagram.com/p/DTydaKfDepO/,@gibrauni jajaja acá donde yo vivo ahorita 17 grados es caluroso. Ya salimos en shorts y sin suéteres.
salva_usul,17888606892417515,https://www.instagram.com/p/DTydaKfDepO/,"- “El chocolatito es para los muertos ¿no sabías?”
👁️👄👁️
Engañado he vivido, né…"
danny__anc,18091992992492250,https://www.instagram.com/p/DTydaKfDepO/,Se ve que somos personas calientes los yucas 🔥🔥
yosoymaxespinosa,18172696219343608,https://www.instagram.com/p/DTydaKfDepO/,Cuchiplancheo 😂
juliolealortiz,18120607408564765,https://www.instagram.com/p/DTydaKfDepO/,@yosoymaxespinosa 😂😂
alexis_ishem,17846310618648497,https://www.instagram.com/p/DTydaKfDepO/,Cosas deliciosas....😈🥴 Echarse y Chingarse café con pan 🥐 🥴 añioooooo 💦
juliolealortiz,18045228107506730,https://www.instagram.com/p/DTydaKfDepO/,@alexis_ishem añioo jajaja
gollasdavid,18068555279178471,https://www.instagram.com/p/DTydaKfDepO/,Esa señora quiere hacer el colofox
juliolealortiz,18067477646632698,https://www.instagram.com/p/DTydaKfDepO/,@gollasdavid 😂😂😂
albertiuxnava,18126122599545419,https://www.instagram.com/p/DTydaKfDepO/,La Doña.. Bien honesta... Lo que quiere es un buen trozo de Keeeeeep 😂😂👏👏
catgarzav,17856397647606914,https://www.instagram.com/p/DTydaKfDepO/,Los yucatecos son un mood 😂 jajaja
erwin.4856,18007670930681585,https://www.instagram.com/p/DTydaKfDepO/,😂😂😂
c__matus,18321336847216813,https://www.instagram.com/p/DTydaKfDepO/,Frío en Mérida??? #nomamen
ander2239,17915404989274842,https://www.instagram.com/p/DTydaKfDepO/,El señor Drácula con ganas de sangre carnal😂
danilo19x,18112176691714453,https://www.instagram.com/p/DTydaKfDepO/,@marietta_med
iveplans,18124768168481629,https://www.instagram.com/p/DTydaKfDepO/,Puro dzis estos señores 😂😂😂
stevenruiz7008,18056650172355513,https://www.instagram.com/p/DTydaKfDepO/,Pasen el insta de la señora
frelias_uwu,17987587223926270,https://www.instagram.com/p/DTydaKfDepO/,Frío? En Yucatán
nancyyjara,17901862314362548,https://www.instagram.com/p/DTydaKfDepO/,Jajja vaya que son muy cálidos
vane.ha21,17935586427139150,https://www.instagram.com/p/DTydaKfDepO/,Hacer cosas deliciosas 🤣🤣🤣
angelin92mc,17998897229716972,https://www.instagram.com/p/DTydaKfDepO/,@lili_gr30 ves😂😍
adrianamha,18391427098197577,https://www.instagram.com/p/DTydaKfDepO/,JAJJAJAJAAJA
viticohugo,18090401351477678,https://www.instagram.com/p/DTydaKfDepO/,😂😂😂
polet.cuevas,17884482081433543,https://www.instagram.com/p/DTydaKfDepO/,Para el frío  se me antoja un chocolatito con ruda
di_lewandowski.1,17876582916470407,https://www.instagram.com/p/DTydaKfDepO/,Frío 18 c
moses_mackenzie,18112772503617661,https://www.instagram.com/p/DTydaKfDepO/,Solo en eso piensan cochis cochis😂
