hashtags:,#2026,#felizañonuevo
post_url,username,comment_id,comment_text
amadeus_fuentes,18054418184372635,https://www.instagram.com/p/DTEc6bHjLl0/,😂😂
nutricion_y_mente_enbalance,17959017888019142,https://www.instagram.com/p/DTEc6bHjLl0/,😂😂😂😂😂😂😂
monns94,18074901059602041,https://www.instagram.com/p/DTEc6bHjLl0/,Así no vamos a llegar ni al 15 de enero 😂
annlit229,17858955402580246,https://www.instagram.com/p/DTEc6bHjLl0/,"Hay quienes creen que los primeros 12 días representan como va ir el mundo durante cada mes del año, imagínense eso 😢"
mayra_macias_encina,18196574968334199,https://www.instagram.com/p/DTEc6bHjLl0/,"@annlit229 pero es del clima, no?"
annlit229,18107781925731840,https://www.instagram.com/p/DTEc6bHjLl0/,🤷 esperemos
im_sharam,18111323146552710,https://www.instagram.com/p/DTEc6bHjLl0/,"@annlit229 Se refiere al clima, se le llama pintas"
stellarwayfarer,18226974667307566,https://www.instagram.com/p/DTEc6bHjLl0/,@annlit229 nos va a llevar la vg en febrero y marzo (?)
julio_jimenez9422,18082030439183169,https://www.instagram.com/p/DTEc6bHjLl0/,
edwincruzm,18033340619763595,https://www.instagram.com/p/DTEc6bHjLl0/,
rucapi1,18066739259404227,https://www.instagram.com/p/DTEc6bHjLl0/,Temblor fuerte en Mexico.
rucapi1,18091978015948832,https://www.instagram.com/p/DTEc6bHjLl0/,El 2026 diciéndote ¿quieres mas sorpresitas? 🔥
dr.roberto.magana,18052583966398618,https://www.instagram.com/p/DTEc6bHjLl0/,Y todavía faltan 362 días 😂
dgonzalez_1910,18089943611058019,https://www.instagram.com/p/DTEc6bHjLl0/,@dr.roberto.magana Dios nos ampare 😂😂
nelmoret,18524840023069238,https://www.instagram.com/p/DTEc6bHjLl0/,"Agradecido con los que dijeron 2026 sorprendeme esta vez, fue lo mejor 😭"
edwincruzm,18087416999048793,https://www.instagram.com/p/DTEc6bHjLl0/,
im_sharam,18000566090704216,https://www.instagram.com/p/DTEc6bHjLl0/,"Necesito una conversación con la persona que dijo eso porque NOJODA TRES DÍAS HAN PASADO, TREEEEEESSSS"
jaredimz16,17949549021061980,https://www.instagram.com/p/DTEc6bHjLl0/,Hola Soy Doryyyyy
mauaxolotl,18322227847216075,https://www.instagram.com/p/DTEc6bHjLl0/,"Aquí si, no me parece el humor."
lirajunky21,18091255750785386,https://www.instagram.com/p/DTEc6bHjLl0/,@mauaxolotl porque no?
rebeca.enamorado.33,18078789719249922,https://www.instagram.com/p/DTEc6bHjLl0/,Fue culpa de masiosare no hay duda toca tu Clarín con un acento bélico y sorprenderlo tu a él
angel_dukito,18182744041362139,https://www.instagram.com/p/DTEc6bHjLl0/,Pero como lo ubicará si es un extraño enemigo
rebeca.enamorado.33,18091535140792295,https://www.instagram.com/p/DTEc6bHjLl0/,Cierto 😲
