https://www.instagram.com/p/CCHFxZnAKTU/,hashtags:,#tb
username,comment_id,text
laminekyn,17870396374823843,No sé pero eres mi crush 😂
serchts,17850808646152058,29🖤
vickywolff,17871988351769924,@serchts no 😳😑
serchts,17851317449116018,@vickywolff haha felicidades de todas maneras!
galleta_mia,17861134753954092,Awww felicidades atrasadas cuñis! Un abrazo
elena071292,18149139130005236,28 😘
vickywolff,17846126873202828,@elena071292 siii jajaja
fausto_1986,17862254005960646,Felicidades ya 19 por fin?
vickywolff,18043384438248916,"@fausto_1986 ya, por fin soy grande Jajajajajajaja"
fausto_1986,18122318602114254,@vickywolff ya eres niña gande!
chicomiopia,17845310570222649,Es que eres perfecta 😍💕
vickyalbiztegui,18150228205063217,"No me enteré que fue tu cumpleaños tocaya pero espero te la hayas pasado súper bien, un abrazo con sana distancia. ☺️"
vickywolff,17885848270614700,@vickyalbiztegui Owww no te preocupes amika jaja es parte de la cuarentena 😢 este año no cuenta 🙄 xd pero muchas gracias ☺️ te mando un besoooteeee desinfectado 💕
chrisbudet,17858613572002907,25
vickywolff,17890427854576703,@chrisbudet me encantaría que así fuera pero no 😂
chrisbudet,17890464823565794,"@vickywolff es que yo cumplo (hoy, ahorita) 23 jajaj entonces dije “somos de la edad” 😂"
vickywolff,17879379538682843,@chrisbudet owwwww FELICIDADES 💖✨ Pásatela bonito 💕 eres entonces Cáncer ♋️ igual que yo :3
chrisbudet,18018904699302625,"@vickywolff muchas Gracias hermosa!!! 😘 Y feliz cumple atrasado a ti también 💕 siiii, Cáncer ♋️ 🦀 jajaj"
luisda.ferrel,17858999933022400,27
vickywolff,17878497943707824,@luisda_ferrel noup jaja
edgarcarrilloh,18042314962250749,28 🤔
vickywolff,17870621308832363,@edgarcarrilloh sii ✨
jk_godoy,17872568206757118,Felicidades!!!!
vickywolff,17854595399080423,@juanki_godoy muchas graciaaaaasssss 😍😍😍
