hashtags:,#yucatan,#yucatecos,#gastronomiayucateca
post_url,username,comment_id,comment_text
dpad7,18069362396415141,https://www.instagram.com/p/DTMIoBZjP-K/,"Me dió un tick en el ojo cuando escuché el ""pero la mía sin queso"""
fenixv2,17995816184855824,https://www.instagram.com/p/DTMIoBZjP-K/,@dpad7 es que luego sabe raro
liberato55,18050913284444671,https://www.instagram.com/p/DTMIoBZjP-K/,Si no me gustó es demasiado salado
dpad7,17880300831351739,https://www.instagram.com/p/DTMIoBZjP-K/,Es lo que equilibra el sabor dulce con salado 😂
vliz95,18085592773891501,https://www.instagram.com/p/DTMIoBZjP-K/,@dpad7 no es marquesita si no lleva queso de bola 🤷‍♀️
flangw2,18355894465166985,https://www.instagram.com/p/DTMIoBZjP-K/,@dpad7 sabe bien culero
gilnavarrootero,18095845546927946,https://www.instagram.com/p/DTMIoBZjP-K/,@dpad7 😂😂🤣🤣
norma_albarn,18070304423385379,https://www.instagram.com/p/DTMIoBZjP-K/,@dpad7 x2!! Así no es marquesita 😒 y no soy de Yucatán pero me encanta comer rico
mighty_tynus,17983789505945211,https://www.instagram.com/p/DTMIoBZjP-K/,@dpad7 mientras no te den tics en el bobosh...
kast.draws,17935386771118670,https://www.instagram.com/p/DTMIoBZjP-K/,@vliz95 osea queso Oaxaca? 😂
ernestinobuen,17970453110998540,https://www.instagram.com/p/DTMIoBZjP-K/,"Solo he probado las marquesita una vez, hace como 20 años, y aun cada tantos meses se me antoja una. Que deliciosas!"
bellariosofficial,17870010996437363,https://www.instagram.com/p/DTMIoBZjP-K/,"@ernestinobuen Yo también, mi amigo. Las probé hace unos años atrás y desde entonces, sueño con comer unas marquesitas 🥺❤️"
karldf70,17930135757172303,https://www.instagram.com/p/DTMIoBZjP-K/,Porque enrollan las crepas?
yessenia.vila,18358177861160422,https://www.instagram.com/p/DTMIoBZjP-K/,@karldf70 para darte un waxcoop en tu bobox y te salga un Waa
karldf70,17929560882189268,https://www.instagram.com/p/DTMIoBZjP-K/,"@yessenia.vila traducido es: ""para darte un guamazo en tu rabadilla y te salga un grito"", creo que es la mejor frase yucateca, se la voy a aplicar a los cuates, 😂"
wili_berto,18047766470487174,https://www.instagram.com/p/DTMIoBZjP-K/,@yessenia.vila que feo hablan los del sur 🤡 inches chilangos y yucatecos no se les entiende nada
sandretti_dareg,18098416714803296,https://www.instagram.com/p/DTMIoBZjP-K/,@karldf70 😂🙌🤣🤣😂🤣😂🤣😂
