hashtags:,#dúo,#humor,#dieta
post_url,username,comment_id,comment_text
joe.roblero,17926353290308967,https://www.instagram.com/p/CaH3z4djDlc/,@jenny_med 😹😹
dulce_gr_ils,17886217784593783,https://www.instagram.com/p/CaH3z4djDlc/,😂😂😂😂😂
mooncvbb,17922372809211177,https://www.instagram.com/p/CaH3z4djDlc/,😂😂😂
johana.salasgonzales,17873067965648628,https://www.instagram.com/p/CaH3z4djDlc/,Jajajajjajaja
angela.hernandez.3979489,18225689167129324,https://www.instagram.com/p/CaH3z4djDlc/,😂😂😂😂👏👏
estefani_balam,17990282884435050,https://www.instagram.com/p/CaH3z4djDlc/,@marialuisaavilagomez ptm soy.. 😂😂
mariluavigo,18165616405168092,https://www.instagram.com/p/CaH3z4djDlc/,"@estefani_balam jajaajajajaja 😂somos, jes y fabi no ayudan 😂"
estefani_balam,17938741783823337,https://www.instagram.com/p/CaH3z4djDlc/,@marialuisaavilagomez jajajajaja con ganas voy a comer mi romanita 😢😂😂
mariluavigo,17937351133903817,https://www.instagram.com/p/CaH3z4djDlc/,@estefani_balam yo mi espinaca 😂😂😂
aniluvazquez84,17937433483903636,https://www.instagram.com/p/CaH3z4djDlc/,Me identifico Tila
losimsilva,17934222367981960,https://www.instagram.com/p/CaH3z4djDlc/,😂😂😂😂😂
cantusan,17885235392613327,https://www.instagram.com/p/CaH3z4djDlc/,Jajajajajajajaj @jorgecantu07
paco_casta2010,17931046258911774,https://www.instagram.com/p/CaH3z4djDlc/,@entoncesdigame @oswaldogonzalez382
paidotio,17902539962520740,https://www.instagram.com/p/CaH3z4djDlc/,😂😂😂😂
rodriguezc328,17952734113714962,https://www.instagram.com/p/CaH3z4djDlc/,Jajajajajja
p.gooytia,18283734283017719,https://www.instagram.com/p/CaH3z4djDlc/,@lalizzfigueroa @almagalindo_r
almagalindo_r,17920996904214003,https://www.instagram.com/p/CaH3z4djDlc/,@p.gooytia 😢
diegogarcia_omnisetu,17920146698219781,https://www.instagram.com/p/CaH3z4djDlc/,Jajajjajaaj
jyenni.vc,17908420283428596,https://www.instagram.com/p/CaH3z4djDlc/,😢Jajajaj
daysialvarezdelacruz,17914376021203574,https://www.instagram.com/p/CaH3z4djDlc/,Cuando le contestara @tilasesto a chumel por criticar a Mérida
marina_martinrz,17939865106779728,https://www.instagram.com/p/CaH3z4djDlc/,😂😂😂😂
veluu25,17895001880539436,https://www.instagram.com/p/CaH3z4djDlc/,😂😂😂 si somos
lou_ca26,17930798564072629,https://www.instagram.com/p/CaH3z4djDlc/,😂😂😂😂
marvel75love,17977955713490983,https://www.instagram.com/p/CaH3z4djDlc/,😂😂😂😂😂😂😂😂😂😂😂😂
lupi_cardena,17969499580483381,https://www.instagram.com/p/CaH3z4djDlc/,@yaz_mediina ya me vi 😂
yaz_mediina,17923300853312067,https://www.instagram.com/p/CaH3z4djDlc/,@lupi_cardena jajajj 😢 si seremos
lupi_cardena,17942393782856808,https://www.instagram.com/p/CaH3z4djDlc/,@yaz_mediina jajajajajaja jajajaja ya tengo mi menu
yaz_mediina,17885060882549070,https://www.instagram.com/p/CaH3z4djDlc/,@lupi_cardena  A obedecer 🥺🥺
fatimachuil,17960763172533889,https://www.instagram.com/p/CaH3z4djDlc/,@itzyaz 😂😂😂😂😂
lupita.esp.h,17931562943066415,https://www.instagram.com/p/CaH3z4djDlc/,@rodriguezmarquezroxana 😂😂😂 perdóname jaja
atheyos15,17923540664295142,https://www.instagram.com/p/CaH3z4djDlc/,😂😂😂si pasa😂😂😂😂
danyokhuy,17916596201167212,https://www.instagram.com/p/CaH3z4djDlc/,@lizaokhuy
miguel.cornejo.94801,18052046530307860,https://www.instagram.com/p/CaH3z4djDlc/,😂😂😂😂😂
