hashtags:,#México…,#imss,#yucatan
post_url,username,comment_id,comment_text
rossamerica,17888172888395495,https://www.instagram.com/p/DRsk8UzD7-3/,Justo asi se encuentra urgencias en T1...deprimente ver a las personas sentadas con el suero colgando a un lado de ellos...en las noches aun más cobijados con solo sábanas...muy diferente ya cuando ya estan en piso...si que se parece mucho 😢🤨🤨🤨
ginn_amaya,17956720557040453,https://www.instagram.com/p/DRsk8UzD7-3/,Que triste donde está el gobernador @huachodiazmena.oficial y l presidenta @claudia_shein
caro_armst,18368672512085383,https://www.instagram.com/p/DRsk8UzD7-3/,"Yo estuve en urgencias en el hospital general Balbuena , nos tenían sentados en el suelo y sillas porque no tenían lugar. Éramos alrededor de 15 personas con muchísimo dolor"
aloal777,17891844162243064,https://www.instagram.com/p/DRsk8UzD7-3/,"Hazlo , visita urgencia issste hospital regional,  es terrible ..asi es mientras estés bien de salud todo maravilloso...pero si estas y te toca caer  urgencias es una pesadilla y quienes se benefician ? Las clínicas privadas , lo mas lamentable es que muchos médicos de imss o issste  dan consulta en sus clínicas particulares y te atienden de lujo."
0sc4rsan,17867908527485797,https://www.instagram.com/p/DRsk8UzD7-3/,"Los mexicanos saben la problemática que hay detras del sector salud y aún así no hacen nada por llevar habitos saludables, no puedes exigirle al sistema de salud recursos suficientes para poder darle atención adecuada a los problemas que la misma la inconsciencia de tus pobladores provoca, no es solamente culpa del sector salud que no designa los fondos necesarios, pero como designarlos cuando tus derechohabientes prefieren “una coquita para bajar la presión”. No habrá cambio alguno en el sistema de salud si sus usuarios no hacen cambio alguno en sus hábitos."
jnoria__,18365891674088260,https://www.instagram.com/p/DRsk8UzD7-3/,"@0sc4rsan hola, te explico porque parece que estás entendiendo mal. Se queja de la falta de medicamento, las malas infraestructuras y que poco a poco se va recortando más y más el presupuesto para salud y apoyo a tratamientos que son muy costosos en el sector de salud privada por ejemplo químicos, operaciones que requieren varios especialistas. Entiendo que las personas tienen obligación de cuidarse así mismos pero tú comentario cae en el ""si no te enfermas no hay problemas"". Finalmente, aún si todos nos cudiaramos tarde o temprano alguien terminaría requiriendo este servicio, no es que el país esté tan enfermo que no alcance el medicamento y los recursos, es que no existen. Y si a esas vamos, se supone también el gobierno tiene la obligación (sí, obligación) de educar al pueblo, no es por algo que dicen educación laica, de calidad y gratuita. Tu comentario quita responsabilidad y obligaciones al gobierno, y  bueno es su trabajo literalmente."
0sc4rsan,17968394447994993,https://www.instagram.com/p/DRsk8UzD7-3/,"@jnoria__ creo que el que no entendió el punto fuiste tú… la mayoría de personas hospitalizadas que se reciben son por complicaciones de su DM2, ERC, Cirrosis u otras patologías hepaticas, el presupuesto nunca va a alcanzar porque la gente no hace nada para cuidarse, aunado al hecho de que la mayoría de mexicanos viven del empleo informal, no aportan a los impuestos que pagan sus servicios publicos de salud, pero si los usan. Entonces? Cual es la solución? Hacer que las personas que si aportamos al heraldo paguemos más? Y las personas sigan descuidando su salud? Que los trabajadores del sector privado tengamos que compadecernos de la población que no tiene el recurso para acceder a la priva? En pocas palabras quitarse el pan de la boca para darselo a alguien más? Es ilógico y poco realista. Trate de entenderlo de manera estadística y no solo como usuario, lo hábitos de los mexicanos desafortunadamente no dan cabida a una buena salud :)."
jnoria__,18066006476617587,https://www.instagram.com/p/DRsk8UzD7-3/,@0sc4rsan mira entiendo que por tu formación no aceptas otro punto de vista que no sea el tuyo y no Importa que tanto te lo expliquen siempre será lo que tú digas. Y está bien si así te sientes mejor y justifica ver el país en ruinas adelante al final.
cardenas82cv,18051719639354063,https://www.instagram.com/p/DRsk8UzD7-3/,@0sc4rsan como medico creo que deberías echarle un vistazo a ese México en que radicamos los mexicanos.
